Periodo;Turma;Manha;Noite;ADM;ADS;CIC;DES;ENGC;ANALISE_E_PROJETO_DE_SISTEMAS;BANCO_DE_DADOS_I;DESENVOLVIMENTO_DE_APLICACOES_COM_BANCO_DE_DADOS;DESENVOLVIMENTO_DE_APLICACOES_DISTRIBUIDAS;DESENVOLVIMENTO_DE_APLICACOES_MOVEIS;DESENVOLVIMENTO_DE_APLICACOES_WEB;EVOLUCAO_DO_PENSAMENTO_ADMINISTRATIVO;GESTAO_DE_SISTEMAS_DE_INFORMACAO;INTRODUCAO_A_PROGRAMACAO;PROGRAMACAO_ESTRUTURADA;PROJETO_INTEGRADOR_EM_ENGENHARIA_DA_COMPUTACAO_II;PROJETO_INTEGRADO_EM_ENGENHARIA_DA_COMPUTACAO_I;SIMULACAO_EMPRESARIAL;WEBDESIGN;Matricula;AV1;AV2;MEDIAParcial;AV3;MEDIAFinal;FALTAS;AV3Bin
2019-01;152-2019-01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;74629a22cfed47eae86cd7e71c2d1635;6.5;8.0;7.2;0.0;7.2;2;0.0
2019-01;152-2019-01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;435b15978f23ed38232820320e38f3b2;3.5;7.8;5.6;6.5;7.2;5;1.0
2019-01;152-2019-01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;a1602a9569fa3532f0a3833eeb72daff;7.5;3.0;5.2;6.5;7.0;5;1.0
2019-01;152-2019-01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2a5fd0f356429b54e90a586ae9b81ab8;0.0;0.0;0.0;0.0;0.0;11;0.0
2019-01;152-2019-01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;a107e3dbdd1692a3e8903aaf95335e38;5.0;6.0;5.5;5.3;5.6;5;1.0
2019-01;152-2019-01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5d0727e36a6a7e61019476407969ae1e;9.0;8.3;8.6;0.0;8.6;1;0.0
2019-01;152-2019-01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9efe032b8e1349ef0c672320cbd060a1;7.5;7.0;7.2;0.0;7.2;5;0.0
2019-01;152-2019-01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;b7be1f075e96283e5342acd33ac5f247;0.5;1.5;1.0;0.0;1.0;7;0.0
2019-01;152-2019-01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;b8e5357ea562445d928646e1814e6e21;6.0;8.0;7.0;0.0;7.0;4;0.0
2019-01;152-2019-01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;463ad5f0f7979793e8dc0265f098b473;0.0;0.0;0.0;0.0;0.0;0;0.0
2019-01;152-2019-01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;518930573e18f23e9dc4aa7eda19764c;5.0;6.3;5.6;7.8;7.0;2;1.0
2019-01;152-2019-01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;570121856462fb84c5dbd9a9f41e2352;3.0;0.0;1.5;0.0;1.5;9;0.0
2019-01;152-2019-01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1c1d0ca596227ec75fa2a86696a9862a;0.0;0.0;0.0;0.0;0.0;2;0.0
